sample,platform_type,maturity_segment,rows,cities,city_operators,unlock_fee_ge_1_00_rows,unlock_fee_ge_1_00_cities,unlock_fee_ge_1_00_city_operators,unlock_fee_ge_1_20_rows,unlock_fee_ge_1_20_cities,unlock_fee_ge_1_20_city_operators,estimable_high_fee
all,large_aggregator_only,early_0_180,2670,16,21,1536,12,12,1401,11,11,True
all,large_aggregator_only,mature_366_plus,1409,9,11,970,7,7,735,5,5,True
all,local_maas_only,early_0_180,48,2,2,0,0,0,0,0,0,False
all,local_maas_only,mature_366_plus,1443,9,16,90,5,5,72,4,4,True
all,local_maas_only,mid_181_365,195,2,3,0,0,0,0,0,0,False
all,multi_platform,early_0_180,54,1,1,0,0,0,0,0,0,False
all,multi_platform,mature_366_plus,2003,12,15,1308,10,10,1029,8,8,True
all,multi_platform,mid_181_365,72,1,1,0,0,0,0,0,0,False
no_weak_exposure,large_aggregator_only,early_0_180,2670,16,21,1536,12,12,1401,11,11,True
no_weak_exposure,large_aggregator_only,mature_366_plus,968,7,8,817,6,6,582,4,4,True
no_weak_exposure,local_maas_only,early_0_180,48,2,2,0,0,0,0,0,0,False
no_weak_exposure,local_maas_only,mature_366_plus,1443,9,16,90,5,5,72,4,4,True
no_weak_exposure,local_maas_only,mid_181_365,195,2,3,0,0,0,0,0,0,False
no_weak_exposure,multi_platform,early_0_180,54,1,1,0,0,0,0,0,0,False
no_weak_exposure,multi_platform,mature_366_plus,2003,12,15,1308,10,10,1029,8,8,True
no_weak_exposure,multi_platform,mid_181_365,72,1,1,0,0,0,0,0,0,False
scooter_only,large_aggregator_only,early_0_180,2670,16,21,1536,12,12,1401,11,11,True
scooter_only,large_aggregator_only,mature_366_plus,1409,9,11,970,7,7,735,5,5,True
scooter_only,local_maas_only,early_0_180,18,1,1,0,0,0,0,0,0,False
scooter_only,local_maas_only,mature_366_plus,168,7,7,90,5,5,72,4,4,True
scooter_only,local_maas_only,mid_181_365,93,1,1,0,0,0,0,0,0,False
scooter_only,multi_platform,early_0_180,54,1,1,0,0,0,0,0,0,False
scooter_only,multi_platform,mature_366_plus,2003,12,15,1308,10,10,1029,8,8,True
scooter_only,multi_platform,mid_181_365,72,1,1,0,0,0,0,0,0,False
